name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Max Holloway,900,180,640,0,70,0,175,1240,350,3205
Georges St-Pierre,500,270,800,0,140,0,50,831,375,2866
Jon Jones,500,540,720,0,70,0,25,683,375,2863
Michael Bisping,1000,0,640,0,140,0,225,662,275,2492
Jim Miller,600,990,480,0,140,0,400,292,50,2152
