name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Junior Tafa,100,0,0,0,0,0,25,21,0,,140001676
Parker Porter,100,0,240,0,0,0,100,55,0,,140000991
Garrett Armfield,100,0,0,0,0,0,25,30,0,,140001491
Toshiomi Kazama,0,0,0,0,0,0,50,0,0,,140001425
Michal Oleksiejczuk,600,0,0,0,70,0,100,80,0,,140000120
Chidi Njokuani,200,0,0,0,0,0,75,18,0,,140001174
JJ Aldrich,100,0,480,0,70,0,125,109,0,,140000210
Liang Na,0,0,0,0,0,0,75,0,0,,140001112
Song Kenan,300,0,160,0,0,0,75,48,0,,140000590
Rolando Bedoya,0,0,0,0,0,0,50,56,0,,140001702
Sean O'Malley,600,0,160,0,70,0,25,401,25,,140000711
Aljamain Sterling,200,360,480,0,140,0,100,595,125,,140000086
SeungWoo Choi,100,0,240,0,0,0,125,109,0,,140000278
Jarno Errens,0,0,0,0,0,0,50,0,0,,140001615
Billy Goff,100,0,0,0,0,0,0,23,0,,140001500
Yusaku Kinoshita,0,0,0,0,0,0,50,0,0,,140001577
Zhang Weili,200,180,240,0,70,0,50,335,150,,140000141
Amanda Lemos,300,180,80,0,70,0,75,78,75,,140000886
Marlon Vera,700,360,320,0,0,0,175,139,75,,140000207
Pedro Munhoz,300,270,320,0,0,0,200,161,25,,140000138
Ian Machado Garry,300,0,240,0,0,0,0,212,0,,140001217
Neil Magny,500,180,880,0,210,0,250,594,75,,140000752
Mario Bautista,100,270,240,0,0,0,50,101,0,,140000008
Da'Mon Blackshear,100,90,0,0,0,0,50,59,0,,140001535
Brad Tavares,200,0,800,0,210,0,200,290,25,,140000729
Chris Weidman,400,270,320,0,0,0,175,116,200,,140000639
Kurt Holobaugh,0,90,0,0,0,0,100,41,0,,140000340
Austin Hubbard,0,0,160,0,0,0,125,100,0,,140000362
Gregory Rodrigues,400,0,80,0,0,0,50,89,0,,140001028
Denis Tiuliulin,100,0,0,0,0,0,75,13,0,,140001407
Brad Katona,0,0,240,0,0,0,50,64,0,,140000326
Cody Gibson,100,0,0,0,0,0,100,42,0,,140002905
Andre Petroski,100,180,80,0,70,0,0,63,0,,140001187
Gerald Meerschaert,100,810,0,0,0,0,225,135,0,,140000228
Natalia Silva,200,0,160,0,0,0,0,132,0,,140001415
Andrea Lee,100,90,240,0,0,0,150,264,0,,140000082
Vicente Luque,700,450,80,0,70,0,125,129,50,,140000089
Rafael Dos Anjos,400,450,880,0,70,0,325,485,350,,140000368
Karine Silva,0,270,0,0,0,0,0,17,0,,140001308
Maryna Moroz,0,180,240,0,70,0,125,64,0,,140000224
Cub Swanson,600,0,640,0,0,0,225,386,100,,140000327
Hakeem Dawodu,100,0,160,0,210,0,100,301,0,,140000500
Khalil Rountree Jr.,600,0,80,0,70,0,125,102,0,,140000263
Chris Daukaus,400,0,0,0,0,0,100,76,50,,140000992
Iasmin Lucindo,0,90,80,0,0,0,25,24,0,,140001523
Polyana Viana,100,270,0,0,0,0,125,37,0,,140000126
Jamie Pickett,0,0,160,0,0,0,150,22,0,,140000410
AJ Dobson,0,0,80,0,0,0,50,14,0,,140001175
Tafon Nchukwi,0,0,160,0,0,0,100,162,0,,140001019
Marcus McGhee,100,90,0,0,0,0,0,15,0,,140001724
JP Buys,0,0,0,0,0,0,100,0,0,,140000966
Terrance McKinney,200,180,0,0,0,0,75,63,0,,140000494
Mike Breeden,0,0,0,0,0,0,75,12,0,,140000995
Isaac Dulgarian,100,0,0,0,0,0,0,33,0,,140001670
Francis Marshall,100,0,0,0,0,0,50,0,0,,140001504
Martin Buday,0,90,160,0,70,0,0,53,0,,140001253
Josh Parisian,100,0,0,0,70,0,100,19,0,,140000785
Jose Johnson,0,0,0,0,0,0,25,0,0,,140001013
Jaqueline Amorim,100,0,0,0,0,0,25,80,0,,140001700
Montserrat Conejo Ruiz,0,0,80,0,0,0,50,0,0,,140001110
Luana Santos,100,0,0,0,0,0,0,39,0,,140005027
Juliana Miller,100,0,0,0,0,0,50,24,0,,140001510
Tatiana Suarez,100,360,160,0,0,0,0,193,0,,140000399
Jessica Andrade,500,270,480,0,70,0,250,601,150,,140000349
Dustin Jacoby,400,0,240,0,0,0,100,168,0,,140000953
Kennedy Nzechukwu,400,90,80,0,0,0,100,119,0,,140000239
Diego Lopes,0,90,0,0,0,0,25,0,0,,140001199
Gavin Tucker,0,180,160,0,0,0,75,127,0,,140000499
Ludovit Klein,100,0,160,0,70,0,50,32,0,,140001042
Ignacio Bahamondes,100,90,80,0,0,0,50,185,0,,140001067
Cory Sandhagen,400,90,160,0,140,0,75,341,150,,140000007
Rob Font,600,90,240,0,0,0,150,508,100,,140000668
Tanner Boser,300,0,160,0,0,0,125,272,0,,140000638
Aleksa Camur,0,0,80,0,0,0,75,67,0,,140000513
Kyler Phillips,100,90,240,0,0,0,25,153,0,,140000890
Raoni Barcelos,200,90,240,0,0,0,100,181,0,,140000334
Carlston Harris,100,180,80,0,0,0,25,34,0,,140001115
Jeremiah Wells,200,90,0,0,70,0,25,53,0,,140001040
Asu Almabayev,0,90,0,0,0,0,0,22,0,,140005007
Ode Osbourne,200,0,80,0,70,0,100,7,0,,
Cody Durden,100,0,320,0,0,0,50,52,0,,140000976
Jake Hadley,100,90,0,0,0,0,50,28,0,,140001266
Billy Quarantillo,300,90,160,0,0,0,75,221,0,,140000488
Damon Jackson,100,180,160,0,0,0,100,34,0,,140001041
