name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus
Amanda Lemos,300,180,80,0,70,0,75,78,75
Marlon Vera,700,360,320,0,0,0,175,139,75
Pedro Munhoz,300,270,320,0,0,0,200,161,25
Ian Machado Garry,300,0,240,0,0,0,0,212,0
Neil Magny,500,180,880,0,210,0,250,594,75
Mario Bautista,100,270,240,0,0,0,50,101,0
Da'Mon Blackshear,100,90,0,0,0,0,50,59,0
Brad Tavares,200,0,800,0,210,0,200,290,25
Chris Weidman,400,270,320,0,0,0,175,116,200
Kurt Holobaugh,0,90,0,0,0,0,100,41,0
Austin Hubbard,0,0,160,0,0,0,125,100,0
Gregory Rodrigues,400,0,80,0,0,0,50,89,0
Denis Tiuliulin,100,0,0,0,0,0,75,13,0
Brad Katona,0,0,240,0,0,0,50,64,0
Cody Gibson,100,0,0,0,0,0,100,42,0
Andre Petroski,100,180,80,0,70,0,0,63,0
Gerald Meerschaert,100,810,0,0,0,0,225,135,0
Natalia Silva,200,0,160,0,0,0,0,132,0
Andrea Lee,100,90,240,0,0,0,150,264,0
Vicente Luque,700,450,80,0,70,0,125,129,50
Rafael Dos Anjos,400,450,880,0,70,0,325,485,350
Karine Silva,0,270,0,0,0,0,0,17,0
Maryna Moroz,0,180,240,0,70,0,125,64,0
Cub Swanson,600,0,640,0,0,0,225,386,100
Hakeem Dawodu,100,0,160,0,210,0,100,301,0
Khalil Rountree Jr.,600,0,80,0,70,0,125,102,0
Chris Daukaus,400,0,0,0,0,0,100,76,50
Iasmin Lucindo,0,90,80,0,0,0,25,24,0
Polyana Viana,100,270,0,0,0,0,125,37,0
Jamie Pickett,0,0,160,0,0,0,150,22,0
AJ Dobson,0,0,80,0,0,0,50,14,0
Tafon Nchukwi,0,0,160,0,0,0,100,162,0
Marcus McGhee,100,90,0,0,0,0,0,15,0
JP Buys,0,0,0,0,0,0,100,0,0
Terrance McKinney,200,180,0,0,0,0,75,63,0
Mike Breeden,0,0,0,0,0,0,75,12,0
Isaac Dulgarian,100,0,0,0,0,0,0,33,0
Francis Marshall,100,0,0,0,0,0,50,0,0
Martin Buday,0,90,160,0,70,0,0,53,0
Josh Parisian,100,0,0,0,70,0,100,19,0
Jose Johnson,0,0,0,0,0,0,25,0,0
Jaqueline Amorim,100,0,0,0,0,0,25,80,0
Montserrat Conejo Ruiz,0,0,80,0,0,0,50,0,0
Luana Santos,100,0,0,0,0,0,0,39,0
Juliana Miller,100,0,0,0,0,0,50,24,0
Tatiana Suarez,100,360,160,0,0,0,0,193,0
Jessica Andrade,500,270,480,0,70,0,250,601,150
Dustin Jacoby,400,0,240,0,0,0,100,168,0
Kennedy Nzechukwu,400,90,80,0,0,0,100,119,0
Diego Lopes,0,90,0,0,0,0,25,0,0
Gavin Tucker,0,180,160,0,0,0,75,127,0
Ludovit Klein,100,0,160,0,70,0,50,32,0
Ignacio Bahamondes,100,90,80,0,0,0,50,185,0
Cory Sandhagen,400,90,160,0,140,0,75,341,150
Rob Font,600,90,240,0,0,0,150,508,100
Tanner Boser,300,0,160,0,0,0,125,272,0
Aleksa Camur,0,0,80,0,0,0,75,67,0
Kyler Phillips,100,90,240,0,0,0,25,153,0
Raoni Barcelos,200,90,240,0,0,0,100,181,0
Carlston Harris,100,180,80,0,0,0,25,34,0
Jeremiah Wells,200,90,0,0,70,0,25,53,0
Asu Almabayev,0,90,0,0,0,0,0,22,0
Ode Osbourne,200,0,80,0,70,0,100,7,0
Cody Durden,100,0,320,0,0,0,50,52,0
Jake Hadley,100,90,0,0,0,0,50,28,0
Billy Quarantillo,300,90,160,0,0,0,75,221,0
Damon Jackson,100,180,160,0,0,0,100,34,0
Justin Gaethje,600,0,80,75,0,0,100,86,225
Dustin Poirier,900,360,480,75,0,0,175,405,300
Sean Woodson,100,0,160,0,70,0,25,143,0
Dennis Buzukja,0,0,0,0,0,0,25,0,0
Alex Pereira,300,0,80,0,70,0,25,98,50
Jan Blachowicz,500,180,320,0,70,0,175,310,175
CJ Vergara,100,0,80,0,70,0,50,70,0
Vinicius Salvador,0,0,0,0,0,0,50,0,0
Bobby Green,200,180,480,0,70,0,225,689,25
Tony Ferguson,300,540,240,0,70,0,175,355,100
Gabriel Bonfim,0,180,0,0,0,0,0,2,0
Trevin Giles,300,0,160,0,140,0,125,157,0
Michael Chiesa,0,540,400,0,0,0,175,96,50
Claudio Ribeiro,100,0,0,0,0,0,50,22,0
Derrick Lewis,1400,0,160,0,140,0,225,287,250
Marcos Rogerio de Lima,500,180,240,0,0,0,175,160,0
Uros Medic,300,0,0,0,0,0,25,76,0
Matthew Semelsberger,200,0,240,0,0,0,100,62,0
Jake Matthews,100,450,320,0,70,0,150,272,0
Darrius Flowers,0,0,0,0,0,0,25,0,0
Miranda Maverick,0,180,160,0,0,0,75,137,0
Priscila Cachoeira,300,0,80,0,0,0,125,22,0
Tom Aspinall,400,180,0,0,0,0,25,78,75
Marcin Tybura,400,0,480,75,0,0,175,133,50
Julija Stoliarenko,0,180,0,0,0,0,125,3,0
Molly McCann,200,0,320,0,0,0,125,129,0
Fares Ziam,0,0,240,75,0,0,50,76,0
Jai Herbert,100,0,80,0,0,0,100,15,0
Nathaniel Wood,0,270,320,0,0,0,50,225,0
Andre Fili,300,0,320,0,210,0,225,100,0
Paul Craig,300,540,0,0,0,0,150,91,0
Andre Muniz,0,270,160,0,0,0,50,17,0
Daniel Marcos,100,0,0,0,70,0,0,30,0
Davey Grant,300,90,80,0,70,0,150,165,0
Lerone Murphy,200,0,160,0,70,0,0,81,0
Josh Culibao,0,90,80,0,70,0,50,41,0
Jonny Parsons,100,0,0,0,0,0,0,19,0
Danny Roberts,300,90,80,0,140,0,175,54,0
Joel Alvarez,200,270,0,0,0,0,50,68,0
Marc Diakiese,200,0,400,0,0,0,175,115,0
Makhmud Muradov,200,0,160,0,0,0,50,135,0
Bryan Barberena,400,90,240,0,70,0,225,290,0
Mick Parkin,0,0,80,0,0,0,0,59,0
Jamal Pogues,0,0,80,0,0,0,25,0,0
Ketlen Vieira,0,90,320,0,210,0,75,3,50
Pannie Kianzad,0,0,400,0,0,0,100,171,0
Chris Duncan,0,0,80,0,70,0,0,56,0
Yanal Ashmouz,100,0,0,0,0,0,25,13,0
Bassil Hafez,0,0,0,0,0,0,25,0,0
Holly Holm,200,0,400,0,70,50,150,228,250
Mayra Bueno Silva,0,360,80,0,0,50,50,39,25
Bruna Brasil,0,0,80,0,0,0,25,2,0
Shauna Bannon,0,0,0,0,0,0,25,0,0
Jafel Filho,0,90,0,0,0,0,25,3,0
Daniel Barez,0,0,0,0,0,0,25,0,0
Francisco Prado,100,0,0,0,0,0,25,24,0
Ottman Azaitar,200,0,0,0,0,0,50,34,0
Nazim Sadykhov,0,90,0,0,0,0,0,2,0
JunYong Park,0,270,160,75,70,0,50,142,0
Albert Duraev,0,0,80,0,70,0,50,34,0
Norma Dumont,0,0,400,0,70,0,50,170,25
Chelsea Chandler,100,0,0,0,0,0,25,26,0
Viktoriia Dudakova,100,0,0,0,0,0,0,1,0
Istela Nunes,0,0,0,0,0,0,100,39,0
Melquizael Costa,0,0,80,0,0,0,25,62,0
Austin Lingo,0,0,160,0,0,0,75,31,0
Azat Maksum,0,0,0,0,70,0,0,0,0
Tyson Nam,300,0,0,0,0,0,125,41,0
Evan Elder,0,0,80,0,0,0,50,38,0
Genaro Valdez,0,0,0,0,0,0,75,0,0
Ailin Perez,0,0,80,0,0,0,25,49,0
Alexander Volkanovski,500,0,560,0,70,0,25,697,175
Alexander Munoz,0,0,80,0,0,0,50,7,0
Ashlee Evans-Smith,100,0,80,0,70,0,150,86,0
Melsik Baghdasaryan,100,0,160,0,0,0,25,86,0
Yair Rodriguez,400,90,240,0,140,0,75,261,175
Tucker Lutz,0,0,80,0,0,0,75,23,0
Carl Deaton,0,0,0,0,0,0,50,0,0
Alexandre Pantoja,200,360,160,0,140,0,75,142,25
Brandon Moreno,200,270,160,0,70,0,100,161,150
Dan Hooker,700,180,160,0,140,0,200,253,50
Jalin Turner,300,270,0,0,0,0,100,111,0
Robbie Lawler,800,0,320,0,210,0,250,134,225
Niko Price,400,180,80,0,0,0,175,58,0
Dricus Du Plessis,400,90,80,0,0,0,0,174,0
Robert Whittaker,500,0,720,0,70,0,125,421,175
Bo Nickal,100,90,0,0,0,0,0,5,0
Val Woodburn,0,0,0,0,0,0,25,0,0
Vitor Petrino,0,90,80,0,0,0,0,6,0
Marcin Prachnio,100,0,160,0,0,0,125,175,0
Tatsuro Taira,0,180,160,0,0,0,0,87,0
Edgar Chairez,0,0,0,0,0,0,25,0,0
Alonzo Menifield,400,180,80,0,0,0,75,98,0
Jimmy Crute,200,180,0,0,0,0,100,48,0
Denise Gomes,200,0,0,0,0,0,25,56,0
Yazmin Jauregui,100,0,80,0,0,0,25,51,0
Cameron Saaiman,200,0,0,75,0,0,0,114,0
Esteban Ribovics,0,0,80,0,0,0,25,85,0
Kamuela Kirk,0,0,80,0,0,0,50,8,0
Jesus Aguilar,100,0,0,0,0,0,25,1,0
Shannon Ross,0,0,0,0,0,0,50,0,0
Abus Magomedov,100,0,0,0,0,0,25,7,25
Grant Dawson,100,360,240,0,0,0,0,99,0
Damir Ismagulov,0,0,320,0,70,0,50,114,0
Ismael Bonfim,100,0,0,0,0,0,25,21,0
Michael Morales,200,0,80,0,0,0,0,73,0
Max Griffin,300,0,160,75,70,0,200,155,0
Ariane Lipski,0,90,240,0,70,0,125,120,0
Melissa Gatto,100,0,0,0,0,0,50,49,0
Nursulton Ruziboev,100,0,0,0,0,0,0,3,0
Brunno Ferreira,100,0,0,0,0,0,25,1,0
Rinat Fakhretdinov,0,90,160,0,0,0,0,75,0
Kevin Lee,200,360,240,0,70,0,200,218,150
Joanderson Brito,200,90,0,0,0,0,25,29,0
Westin Wilson,0,0,0,0,0,0,25,0,0
Karol Rosa,0,0,240,75,140,0,50,183,0
Yana Santos,0,0,320,0,0,0,125,175,25
Luana Carolina,0,0,240,0,70,0,75,91,0
Ivana Petrovic,0,0,0,0,0,0,25,0,0
Alexandr Romanov,100,270,80,0,70,0,50,160,0
Blagoy Ivanov,0,0,240,0,0,0,125,11,25
Elves Brener,100,0,0,0,70,0,0,0,0
Guram Kutateladze,0,0,0,0,70,0,50,20,0
Maycee Barber,400,0,160,0,140,0,50,200,0
Amanda Ribas,0,180,320,0,0,0,75,210,0
Brendan Allen,100,540,240,0,0,0,50,88,0
Bruno Silva,600,90,0,0,0,0,125,101,0
Phil Rowe,300,0,0,0,0,0,50,29,0
David Onama,200,90,0,0,0,0,50,25,0
Gabriel Santos,0,0,0,0,0,0,50,0,0
Ilia Topuria,300,90,160,0,0,0,0,92,25
Josh Emmett,300,0,320,0,140,0,100,64,100
Randy Brown,200,270,400,0,70,0,125,213,0
Wellington Turman,0,90,80,0,70,0,125,1,0
Mateusz Rebecki,100,0,80,0,0,0,0,90,0
Loik Radzhabov,0,0,80,0,0,0,25,0,0
Trevor Peek,100,0,0,0,0,0,25,44,0
Tabatha Ricci,0,90,240,0,0,0,25,54,0
Gillian Robertson,100,630,80,0,0,0,150,88,0
Joshua Van,0,0,0,0,70,0,0,17,0
Zhalgas Zhumagulov,0,90,0,0,0,0,150,18,0
Jamall Emmers,0,0,160,0,0,0,75,84,0
Sedriques Dumas,0,0,80,0,0,0,25,14,0
Jared Cannonier,600,0,240,0,70,0,150,217,125
Marvin Vettori,0,180,560,0,0,0,125,255,125
Armen Petrosyan,0,0,160,0,70,0,25,175,0
Christian Leroy Duncan,100,0,0,0,0,0,25,5,0
Arman Tsarukyan,300,0,320,0,0,0,50,237,25
Joaquim Silva,300,0,0,0,140,0,100,24,0
Pat Sabatini,0,180,240,0,0,0,25,53,0
Lucas Almeida,100,0,0,0,0,0,25,44,0
Manuel Torres,200,0,0,0,0,0,0,24,0
Nikolas Motta,100,0,0,0,0,0,50,9,0
Kyung Ho Kang,0,360,80,0,210,0,75,108,0
Cristian Quinonez,100,0,0,0,0,0,25,13,0
Alessandro Costa,100,0,0,0,0,0,25,51,0
Jimmy Flick,0,90,0,0,0,0,50,0,0
Nicolas Dalby,0,0,320,0,140,0,75,131,0
Muslim Salikhov,300,0,160,0,70,0,75,97,0
Carlos Hernandez,0,0,80,0,70,0,25,31,0
Denys Bondar,0,0,0,0,0,0,50,1,0
Modestas Bukauskas,100,0,160,0,0,0,75,2,0
Zac Pauga,0,0,80,0,0,0,50,61,0
Tereza Bleda,0,0,80,0,0,0,25,34,0
Gabriella Fernandes,0,0,0,0,0,0,50,2,0
Mike Malott,100,180,0,0,0,0,0,33,0
Adam Fugitt,100,0,0,0,0,0,50,11,0
Amanda Nunes,700,270,400,0,70,0,50,480,300
Irene Aldana,300,90,160,0,70,0,125,121,50
Charles Oliveira,400,1440,160,0,0,0,225,194,150
Beneil Dariush,300,450,480,0,140,0,125,255,0
Nate Landwehr,0,180,80,75,0,0,75,65,0
Marc-Andre Barriault,200,90,160,0,0,0,125,106,0
Eryk Anders,400,0,160,0,70,0,200,90,50
Aiemann Zahabi,200,0,160,0,0,0,50,31,0
Aoriqileng,100,0,80,0,0,0,75,36,0
Blake Bilder,0,0,80,0,0,0,25,31,0
Steve Erceg,0,0,80,0,0,0,0,1,0
David Dvorak,0,90,160,0,0,0,75,43,0
Amir Albazi,100,180,80,0,70,0,0,39,25
Kai Kara-France,200,0,320,0,70,0,100,230,50
Daniel Pineda,100,360,0,0,0,0,150,87,0
Diana Belbita,0,0,160,0,0,0,75,70,0
Maria Oliveira,0,0,0,0,70,0,75,32,0
Jim Miller,600,990,480,0,140,0,400,292,50
Jesse Butler,0,0,0,0,0,0,25,0,0
Ketlen Souza,0,0,0,0,0,0,25,0,0
Tim Elliott,0,90,560,0,0,0,250,206,25
Victor Altamirano,100,0,80,0,0,0,50,51,0
Daniel Santos,100,0,80,0,0,0,25,44,0
Johnny Munoz,0,90,80,0,0,0,75,57,0
Elizeu Zaleski dos Santos,300,90,320,0,140,0,75,227,0
Abubakar Nurmagomedov,0,0,160,0,0,0,50,21,0
John Castaneda,100,90,80,0,0,0,50,49,0
Muin Gafurov,0,0,0,0,0,0,25,21,0
Muhammad Naimov,100,0,0,0,0,0,0,0,0
Jinh Yu Frey,0,0,160,0,0,0,125,0,0
Luan Lacerda,0,0,0,0,0,0,50,0,0
Don'Tale Mayes,200,0,80,0,0,0,75,17,0
Andrei Arlovski,900,180,720,0,210,0,400,396,200
Philipe Lins,100,0,160,0,0,0,50,21,0
Maxim Grishin,100,0,80,0,0,0,75,79,0
Emily Ducote,0,0,80,0,0,0,50,53,0
Joaquin Buckley,400,0,0,0,70,0,100,86,0
Anthony Hernandez,100,270,80,0,0,0,50,88,0
Edmen Shahbazyan,300,90,0,0,70,0,100,67,0
Mackenzie Dern,0,360,160,0,140,0,75,120,75
Angela Hill,100,0,640,0,0,0,325,401,50
Viacheslav Borshchev,200,0,0,0,0,0,50,58,0
Maheshate,100,0,0,0,0,0,50,0,0
Gilbert Urbina,100,0,0,0,0,0,25,35,0
Orion Cosce,0,0,80,0,0,0,50,0,0
Diego Ferreira,400,180,240,0,0,0,125,195,0
Michael Johnson,500,0,560,0,70,0,375,359,50
Karolina Kowalkiewicz,0,90,400,0,140,0,175,296,25
Vanessa Demopoulos,0,90,80,0,70,0,50,4,0
Rodrigo Nascimento,0,90,0,0,140,0,25,24,0
Ilir Latifi,300,180,240,0,70,0,175,69,0
Victoria Leonardo,0,0,80,0,0,0,75,0,0
Jailton Almeida,200,270,0,0,0,0,0,112,25
Jairzinho Rozenstruik,700,0,0,0,0,0,125,63,125
Chase Hooper,200,90,80,0,0,0,75,164,0
Nick Fiore,0,0,0,0,0,0,50,0,0
Johnny Walker,500,90,80,0,0,0,100,112,50
Themba Gorimbo,0,0,80,0,0,0,25,3,0
Takashi Sato,200,0,0,0,0,0,125,16,0
Daniel Rodriguez,200,90,240,0,70,0,75,262,0
Alex Morono,200,180,560,0,70,0,125,274,0
Ihor Potieria,100,0,0,0,0,0,50,4,0
Karl Williams,0,0,160,0,0,0,0,28,0
Chase Sherman,300,0,80,0,0,0,275,173,0
Matt Brown,1300,180,160,0,0,0,325,362,50
Court McGee,0,180,560,0,70,0,275,324,0
Mandy Bohm,0,0,0,0,70,0,50,20,0
Ji Yeon Kim,100,0,0,0,140,0,175,111,0
Gabe Green,100,0,80,0,0,0,75,38,0
Tainara Lisboa,0,90,0,0,0,0,0,16,0
Jessica-Rose Clark,100,0,160,0,70,0,125,104,0
Douglas Silva de Andrade,200,90,320,0,0,0,125,72,0
Cody Stamann,100,0,320,0,140,0,125,189,0
Yan Xiaonan,100,0,480,75,0,0,50,317,25
Movsar Evloev,0,0,480,0,70,0,0,199,0
Henry Cejudo,400,0,320,0,140,0,75,217,150
Belal Muhammad,200,90,800,0,70,0,75,299,50
Gilbert Burns,300,450,560,0,0,0,150,195,75
Kron Gracie,0,90,0,0,0,0,50,0,0
Devin Clark,100,0,560,0,0,0,200,174,25
Khaos Williams,300,0,80,0,70,0,50,68,0
Matt Frevola,300,0,80,0,70,0,75,66,0
Drew Dober,800,90,240,0,0,0,200,150,0
Braxton Smith,0,0,0,0,0,0,25,0,0
Virna Jandiroba,0,180,160,0,0,0,75,16,0
Joseph Holmes,0,90,0,0,0,0,75,18,0
Ikram Aliskerov,100,0,0,0,0,0,0,3,0
Phil Hawes,200,0,80,75,0,0,75,158,0
Song Yadong,500,90,160,0,70,0,50,170,50
Ricky Simon,100,270,240,0,70,0,75,81,25
Rodolfo Vieira,0,360,0,0,0,0,50,0,0
Caio Borralho,0,90,240,0,0,0,0,28,0
Julian Erosa,100,180,80,0,140,0,175,58,0
Charles Johnson,100,0,0,0,70,0,75,39,0
Trey Waters,0,0,80,0,0,0,0,54,0
Josh Quinlan,100,0,0,0,0,0,25,2,0
Irina Alekseeva,0,90,0,0,0,0,0,9,0
Stephanie Egger,100,180,0,0,0,0,75,14,0
Journey Newson,0,0,80,0,0,0,100,20,0
Brogan Walker,0,0,0,0,0,0,50,0,0
Sergei Pavlovich,600,0,0,0,0,0,25,82,25
Curtis Blaydes,600,0,400,0,0,0,100,283,175
Ricky Glenn,100,0,80,0,140,0,100,136,0
Jamey-Lyn Horth,0,0,80,0,0,0,0,13,0
Hailey Cowan,0,0,0,0,0,0,25,0,0
Brady Hiestand,100,0,80,0,0,0,25,4,0
Batgerel Danaa,300,0,0,0,0,0,100,83,0
Montel Jackson,200,90,320,0,0,0,50,180,0
Rani Yahya,0,630,400,0,70,0,125,103,0
Arnold Allen,200,180,400,0,70,0,25,179,50
Ion Cutelaba,400,0,160,0,0,0,200,221,0
Azamat Murzakanov,200,0,80,0,0,0,0,68,0
Edson Barboza,900,0,480,75,70,0,275,267,75
Chris Gutierrez,300,0,160,0,140,0,50,215,0
Bill Algeo,100,90,160,0,0,0,75,147,0
TJ Brown,0,90,80,0,70,0,100,53,0
Brandon Royval,100,270,0,0,70,0,50,43,0
Matheus Nicolau,100,90,240,0,140,0,50,79,0
Piera Rodriguez,0,0,160,0,0,0,25,33,0
Rafa Garcia,0,90,240,0,0,0,75,112,0
Clay Guida,200,450,560,0,280,0,425,166,25
Zak Cummings,200,360,320,0,0,0,100,82,0
Ed Herman,400,450,240,0,70,0,300,207,0
Lucie Pudilova,100,0,160,0,0,0,150,83,0
Lando Vannata,100,90,80,0,70,0,175,100,0
Santiago Ponzinibbio,600,0,400,0,0,0,150,160,50
Adrian Yanez,400,0,0,0,70,0,25,46,0
Gaston Bolanos,0,0,80,0,0,0,0,46,0
Aaron Phillips,0,0,0,0,0,0,100,0,0
Jorge Masvidal,500,90,400,0,0,0,250,364,150
Christian Rodriguez,0,90,80,0,0,0,25,35,0
Kelvin Gastelum,300,180,320,0,210,0,200,218,150
Chris Curtis,300,0,80,0,0,0,50,41,0
Luana Pinheiro,0,0,80,0,70,0,0,18,0
Joe Pyfer,200,0,0,0,0,0,0,7,0
Trey Ogden,0,0,80,0,0,0,50,19,0
Sam Hughes,100,0,80,75,0,0,100,60,0
Cynthia Calvillo,0,270,240,0,0,0,150,113,25
Steve Garcia,300,0,0,0,0,0,50,46,0
Shayilan Nuerdanbieke,100,0,160,0,0,0,50,20,0
Lucas Alexander,0,0,80,0,0,0,25,59,0
Steven Peterson,100,0,80,0,70,0,125,35,0
Preston Parsons,0,0,80,0,0,0,50,48,0
Daniel Lacerda,0,0,0,0,0,0,100,0,0
Jennifer Maia,0,90,400,0,0,0,125,91,25
Casey O'Neill,200,90,0,0,70,0,25,184,0
Roman Dolidze,400,0,80,0,70,0,50,58,0
Leon Edwards,300,90,560,75,70,0,50,182,125
Kamaru Usman,400,90,800,0,0,0,50,555,250
Gunnar Nelson,0,720,160,0,0,0,125,62,50
Omar Morales,0,0,240,0,0,0,100,53,0
Jack Shore,0,270,160,0,70,0,25,154,0
Makwan Amirkhani,100,360,80,0,70,0,175,25,0
Muhammad Mokaev,0,270,80,0,0,0,0,12,0
Sam Patterson,0,0,0,0,0,0,25,0,0
Merab Dvalishvili,100,0,640,0,0,0,50,358,25
Petr Yan,400,0,320,0,0,0,100,302,125
Dusko Todorovic,300,0,0,0,0,0,100,125,0
Malcolm Gordon,100,0,80,0,0,0,100,18,0
Veronica Hardy,0,90,80,0,0,0,100,50,0
