name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value,FighterId
Sergio Pettis,0,0,640,0,70,0,125,259,25,869,140000609
Renato Moicano,0,540,80,0,140,0,125,182,50,867,140000050
Gunnar Nelson,0,720,160,0,0,0,125,62,50,867,140000194
Angela Hill,100,0,640,0,0,0,325,401,50,866,140000203
Tecia Torres,0,90,560,0,0,0,150,365,0,865,140000140
Bryan Barberena,400,90,240,0,70,0,225,290,0,865,140000090
Zak Cummings,200,360,320,0,0,0,100,82,0,862,140000352
Jacare Souza,400,360,80,0,0,0,175,95,100,860,140000309
Iuri Alcantara,300,180,320,0,70,0,175,164,0,859,140000676
Court McGee,0,180,560,0,70,0,275,324,0,859,140000289
Matt Hamill,500,0,240,75,0,0,125,163,0,853,140004546
James Vick,200,270,320,0,0,0,125,162,25,852,140000095
Maycee Barber,400,0,160,0,140,0,50,200,0,850,140000211
Joanne Wood,100,90,320,0,140,0,200,399,0,849,140000011
Carla Esparza,100,90,320,75,210,0,125,76,100,846,140000296
Chris Lytle,100,540,240,0,0,0,250,215,0,845,140003838
Rafael Natal,100,90,400,0,140,0,175,264,25,844,140004429
Matt Wiman,200,270,400,0,0,0,200,170,0,840,140000414
Josh Barnett,400,180,80,0,0,0,75,179,75,839,140004694
Alan Jouban,400,0,320,0,0,0,125,243,0,838,140000262
Mike Swick,500,180,160,75,0,0,125,47,0,837,140004399
John Dodson,500,0,240,0,70,0,175,123,75,833,140000115
Don Frye,500,270,0,0,0,0,25,88,0,833,140004811
Giga Chikadze,300,0,240,0,140,0,25,127,50,832,140000617
Arman Tsarukyan,300,0,320,0,0,0,50,237,25,832,140000286
Yves Edwards,500,180,160,0,70,0,250,171,0,831,140004623
Mark Hunt,700,0,80,0,0,0,200,96,150,826,140000690
Michel Prazeres,0,270,320,0,210,0,100,125,0,825,140000103
Josh Emmett,300,0,320,0,140,0,100,64,100,824,140000243
Gerald Meerschaert,100,810,0,0,0,0,225,135,0,820,140000228
Nick Diaz,400,180,80,0,0,0,175,258,75,818,140001133
Matt Lindland,300,90,240,75,0,0,75,160,25,815,140002752
Ross Pearson,400,0,400,0,140,0,325,173,25,813,140000232
Tatiana Suarez,100,360,160,0,0,0,0,193,0,813,140000399
Cody Garbrandt,500,0,240,0,0,0,125,62,125,802,140000139
Alexa Grasso,0,180,400,0,70,0,75,174,50,799,140000397
Grant Dawson,100,360,240,0,0,0,0,99,0,799,140000156
Gray Maynard,100,0,560,0,210,0,175,53,50,798,140000866
Dan Henderson,400,0,240,0,140,0,225,40,200,795,140004531
Paul Felder,400,90,160,0,140,0,150,101,50,791,140000096
Shane Burgos,200,90,240,75,70,0,75,190,0,790,140000328
Tyson Griffin,100,90,400,0,70,0,150,280,0,790,140003813
Dan Ige,300,90,240,0,140,0,150,119,50,789,140000178
CB Dollaway,200,180,400,0,70,0,225,138,25,788,140000707
Daniel Rodriguez,200,90,240,0,70,0,75,262,0,787,140000508
Jared Gordon,100,0,400,0,70,0,125,338,0,783,140000435
Paul Craig,300,540,0,0,0,0,150,91,0,781,140000238
Luke Rockhold,300,270,0,0,0,0,125,136,200,781,140000445
Mackenzie Dern,0,360,160,0,140,0,75,120,75,780,140000633
Mike Pyle,500,180,160,0,70,0,225,92,0,777,140000706
Karolina Kowalkiewicz,0,90,400,0,140,0,175,296,25,776,140000241
Tai Tuivasa,700,0,80,0,0,0,150,94,50,774,140000400
Roy Nelson,800,0,80,0,0,0,250,41,100,771,140004269
